ID_MUNICIPIO;FECHA_ELECCION;V_+RDS+_2023;V_3e_2023;V_ADELANTE_ANDALUCï¿½A_2023;V_AHORA_CANARIAS-PCPC_2023;V_ALM_2023;V_ASTURIAS_EXISTE_EV_2023;V_BNG_2023;V_BQEX_2023;V_CCD_2023;V_CCa_2023;V_CJ_2023;V_CUP-PR_2023;V_CpM_2023;V_EAJ-PNV_2023;V_EH_Bildu_2023;V_ERC_2023;V_ESCAï¿½OS_EN_BLANCO_2023;V_ESCONS_EN_BLANC_2023;V_ESPAï¿½A_VACIADA_2023;V_EV-PCAS-TC_2023;V_EVB_2023;V_EVC_2023;V_EXISTE_2023;V_FE_de_las_JONS_2023;V_FIA_2023;V_FO_2023;V_FUERZA_Cï¿½VICA_2023;V_GBAI_2023;V_GITV_2023;V_JM+_2023;V_JxCAT_-_JUNTS_2023;V_JxG_2023;V_LB_2023;V_Mï¿½S_PER_MALLORCA-Mï¿½S_PER_MENORCA-SUMAR_2023;V_NC-bc_2023;V_PACMA_2023;V_PAR_2023;V_PARTIDO_AUTï¿½NOMOS_2023;V_PCTC_2023;V_PCTE_2023;V_PCTE/ELAK_2023;V_PCTG_2023;V_PDeCAT-E-CiU_2023;V_PH_2023;V_POR_MI_REGIï¿½N_2023;V_PP_2023;V_PREPAL_2023;V_PSC_2023;V_PSE-EE_(PSOE)_2023;V_PSIB-PSOE_2023;V_PSN-PSOE_2023;V_PSOE_2023;V_PSdeG-PSOE_2023;V_PUEDE_2023;V_PUM+J_2023;V_RECORTES_CERO_2023;V_SUMAR_2023;V_SUMAR_-_COMPROMï¿½S_2023;V_SUMAR_-_ECP_2023;V_SUMAR_ARAGï¿½N_2023;V_SY_2023;V_Somos_Cc_2023;V_UNIDOS_SI_2023;V_UPL_2023;V_UPN_2023;V_UdCa_2023;V_VB_2023;V_VOX_2023;V_VP_2023;V_XAV_2023;V_XH_2023;V_Zsi_2023
34224;2023-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0
34225;2023-07;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;16;0;0;0;0;1;0;12;0;0;7;0;0;0;0;0;0;11;0;0;0;1;0;0;0;0;0;1164;0;0;0;0;0;1471;0;0;3;1;375;0;0;0;0;0;0;0;0;0;0;500;69;0;0;0
34227;2023-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0
34228;2023-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;20;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0
34229;2023-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;13;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
34230;2023-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
34231;2023-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;1;0;0;0
34232;2023-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;244;0;0;0;0;0;183;0;0;1;0;20;0;0;0;0;0;0;0;0;0;0;75;1;0;0;0
34233;2023-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;0;0;0;0;0;18;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0
34234;2023-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;11;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0
34236;2023-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;0;0;0;0;0;15;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;20;1;0;0;0
34237;2023-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;225;0;0;0;0;0;128;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;38;2;0;0;0
34238;2023-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;101;0;0;0;0;0;115;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;13;2;0;0;0
34240;2023-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;11;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0
34241;2023-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
34242;2023-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;14;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0
34243;2023-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;143;0;0;0;0;0;75;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;25;1;0;0;0
34245;2023-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112;0;0;0;0;0;75;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;20;1;0;0;0
34246;2023-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;14;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0
34901;2023-07;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;394;0;0;0;0;0;166;0;0;1;0;22;0;0;0;0;0;0;0;0;0;0;149;13;0;0;0
