ID_MUNICIPIO;FECHA_ELECCION;V_AHORA_CANARIAS_2019;V_ANDECHA_2019;V_AUNACV_2019;V_AVANT_ADELANTE_LOS_VERDES_2019;V_AVANT_LOS_VERDES_2019;V_AxSÍ_2019;V_BNG_2019;V_CAnda_2019;V_CCa-PNC-NC_2019;V_CHA_2019;V_CONTIGO_2019;V_CUP-PR_2019;V_C_21_2019;V_CpM_2019;V_Cs_2019;V_DPL_2019;V_EAJ-PNV_2019;V_EB_2019;V_ECP-GUANYEM_2019;V_EH_Bildu_2019;V_ELAK/PCTE_2019;V_ERC-SOBIRANISTES_2019;V_ERPV_2019;V_EXTREMADURA_UNIDA_2019;V_FE_de_las_J_2019;V_FIA_2019;V_GBAI_2019;V_IFem_2019;V_IZAR_2019;V_IZQP_2019;V_JxCAT-JUNTS_2019;V_LOS_VERDES_2019;V_MAS_2019;V_MDyC_2019;V_M_PAÍS_2019;V_M_PAÍS-CHA-_2019;V_MÁS_PAÍS_2019;V_MÁS_PAÍS-AN_2019;V_MÁS_PAÍS-CA_2019;V_MÁS_PAÍS-EQ_2019;V_MÉS-ESQUERR_2019;V_MÉS_COMPROM_2019;V_NA+_2019;V_NC-CCa-PNC_2019;V_P-LIB_2019;V_PACMA_2019;V_PCOE_2019;V_PCPA_2019;V_PCPC_2019;V_PCPE_2019;V_PCTC_2019;V_PCTE_2019;V_PCTE/ELAK_2019;V_PCTG_2019;V_PDSJE_2019;V_PH_2019;V_PODEMOS-EU_2019;V_PODEMOS-EUIB_2019;V_PODEMOS-EUPV_2019;V_PODEMOS-IU_2019;V_PODEMOS-IU-_2019;V_PODEMOS-IU-BATZARRE_2019;V_PODEMOS-IU_LV_CA_2019;V_PODEMOS-IX_2019;V_PP_2019;V_PP-FORO_2019;V_PPSO_2019;V_PRC_2019;V_PREPAL_2019;V_PSC-PSOE_2019;V_PSE-EE_(PSOE)_2019;V_PSOE_2019;V_PSdeG-PSOE_2019;V_PUM+J_2019;V_PYLN_2019;V_RECORTES_CERO-GV_2019;V_RECORTES_CERO-GV-PCAS-TC_2019;V_RISA_2019;V_SOLIDARIA_2019;V_SOMOS_REGIÓ_2019;V_UDT_2019;V_UIG-SOM-CUIDES_2019;V_UNIDOS_SÍ-A_2019;V_UNIÓN_REGIO_2019;V_UPL_2019;V_VERDES_2019;V_VOX_2019;V_XAV_2019;V_centrados_2019;V_¡TERUEL_EXI_2019
01014;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;93;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;0;0;52;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0
01016;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;72;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;26;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0
01017;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;177;0;0;153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;51;0;0;0;0;53;0;0;0;0;0;73;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;12;0;0;0
01018;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;250;0;0;291;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;142;0;0;0;0;92;0;0;0;0;0;125;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;32;0;0;0
01019;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;71;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;11;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01020;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83;0;0;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;23;0;0;0;0;0;20;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
01021;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;118;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;48;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0
01022;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;111;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0;0;113;0;0;0;0;0;147;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;21;0;0;0
01023;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;44;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0
01027;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;88;0;0;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;24;0;0;0;0;0;21;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
01028;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;159;0;0;103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;102;0;0;0;0;187;0;0;0;0;0;128;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;26;0;0;0
01030;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;26;0;0;0;0;0;19;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01031;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;219;0;0;133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;88;0;0;0;0;201;0;0;0;0;0;114;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;50;0;0;0
01032;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;118;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;36;0;0;0;0;60;0;0;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
01033;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;186;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;40;0;0;0;0;75;0;0;0;0;0;97;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;17;0;0;0
01034;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;4;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
01036;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93;0;3189;0;0;2033;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;10;0;0;0;0;0;0;1689;0;0;0;0;781;0;0;0;0;0;1989;0;0;19;0;13;0;0;0;0;0;0;0;0;0;0;216;0;0;0
01037;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;148;0;0;101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;44;0;0;0;0;34;0;0;0;0;0;31;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0
01039;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;35;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;17;0;0;0;0;0;39;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0
01041;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;30;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;9;0;0;0;0;39;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
01042;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;288;0;0;173;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;110;0;0;0;0;27;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0
